epoch,loss,iou,dice,val_loss,val_iou,val_dice
31,1.012347705,0.042588745,0.013856729,1.017337768,0.000365252,0.005004713
32,1.009611678,0.050268636,0.015591935,1.015924266,0.000759178,0.004404458
33,1.007847938,0.048847435,0.016707873,1.013398328,6.38E-10,0.004526573
34,1.00559618,0.053672205,0.01793897,1.01356461,6.92E-10,0.004414598
35,1.004233359,0.052615881,0.018608466,1.014626698,0.001677116,0.004793849
36,1.002502864,0.055274008,0.019787876,1.012079314,7.38E-10,0.004693948
37,0.998988112,0.064446541,0.021977153,1.011254601,0.000490867,0.004320637
38,0.997287124,0.058839588,0.023310268,1.01275696,0.000914202,0.005625986
39,0.994594852,0.064007631,0.024286911,1.009124044,7.09E-10,0.003088836
40,0.991455199,0.068515981,0.02655101,1.010874907,0.00072372,0.004361175
41,0.988739757,0.071272876,0.027593905,1.010976724,4.73E-10,0.003318818
42,0.984686842,0.072647003,0.02923868,1.013199383,0.000513881,0.004872923
43,0.98247199,0.074526418,0.030116227,1.009524701,0.001052115,0.002655269
44,0.976978124,0.082096295,0.031971816,1.007229112,0.00142361,0.004191472
45,0.973781807,0.086425553,0.03292061,1.00798798,0.001893422,0.004600473
46,0.972990114,0.075443704,0.033981666,1.013782361,0.001318475,0.004659655
47,0.966865886,0.079320967,0.038040005,1.008760651,0.000862487,0.004336203
48,0.965427863,0.080760835,0.037041843,1.007663396,0.002574541,0.005131184
49,0.961461607,0.078445038,0.038450189,1.007319942,0.000385193,0.004756408
50,0.956198993,0.084980089,0.040824644,1.005953047,0.005048483,0.006586764
51,0.952952037,0.087162506,0.042444535,1.007234824,0.002123587,0.003727618
52,0.948705694,0.08558059,0.044130258,1.004073627,0.002083188,0.005667893
53,0.946553469,0.087201496,0.046063457,1.004824876,0.005146963,0.005306982
54,0.942015562,0.083461126,0.048059121,1.004937156,0.00179437,0.003898144
55,0.936585668,0.077998775,0.051772024,1.008151463,0.000677489,0.002855885
56,0.931486996,0.081519435,0.054931875,1.004466351,0.006108455,0.006577128
57,0.929919828,0.07326703,0.058297034,1.004020917,0.002500412,0.004454725
58,0.922700216,0.091183301,0.060125716,1.00131394,0.006374883,0.007168536
59,0.916769982,0.092764792,0.06201496,1.002396957,0.006174326,0.00740235
60,0.91456138,0.094686967,0.067246005,1.0017962,0.006336389,0.007224119
61,0.910916571,0.083101386,0.07459832,1.001995795,0.005515699,0.007871788
62,0.919375507,0.081196008,0.068661794,0.996253478,0.010937961,0.011752296
63,0.909447702,0.088804552,0.074650712,1.005480314,0.002482159,0.00456423
64,0.902324294,0.0964437,0.079266779,1.004333263,0.006462082,0.0079999
65,0.897417534,0.094240728,0.083376758,1.003105471,0.00348718,0.005621857
66,0.894923114,0.093871592,0.087533221,1.006257097,0.001049895,0.002658357
67,0.891924872,0.088949336,0.091845877,1.001757998,0.005813795,0.007432534
68,0.889539814,0.090488425,0.093342394,1.003949766,0.002650713,0.004623879
69,0.891632335,0.088343407,0.096218385,1.00400352,0.004395918,0.006042053
70,0.887016572,0.08860528,0.099850602,1.004044418,0.00411237,0.005420985
71,0.886715583,0.091643656,0.100722224,1.004893463,0.002892931,0.005301655
72,0.880868987,0.092128527,0.109106086,1.00235855,0.004742757,0.007307564
73,0.884056458,0.087572981,0.108858697,1.007288702,0.001700878,0.003201216
74,0.877611956,0.086856094,0.113011226,1.001931047,0.004432592,0.006877101
75,0.875854579,0.086917455,0.116850965,1.004750689,0.003150348,0.006136489
76,0.87282245,0.088246184,0.123455718,1.004442067,0.00285448,0.005497863
77,0.872177175,0.087906495,0.124503151,1.006754643,0.002232029,0.004677241
78,0.874205652,0.085268999,0.123772398,1.000040852,0.005937132,0.008985933
